ID	words	meaning	lx
6700	pear	n. 梨	 Would you like a pear?/r/n     想吃梨吗？/r/n\n This salad is made of apple, pear, potato and celery./r/n     这份色拉是由苹果、梨、土豆和芹菜做成的。/r/n
6701	pearl	n. 珍珠<br>\nv. 用珍珠装饰	 She wears a pearl necklace today./r/n     今天她戴了一条珍珠项链。/r/n\n A pearl or mineral that has been cut and polished for use as an ornament./r/n     宝石，珍珠珍珠或矿石，已被切割或抛光而作为装饰品/r/n
6702	Pearl Harbor	(美国夏威夷港口)珍珠港	 The attack on Pearl Harbor was a crushing calamity./r/n     偷袭珍珠港（对美军来说）是一场毁灭性的灾难。/r/n
6703	pearly	a. 珍珠似的(响亮的)	 I like pearly ornament./r/n     我喜欢珍珠饰物。/r/n\n The pearly sheen absorbed many people./r/n     珍珠的光泽吸引了很多人。/r/n
6704	peasant	n. 农民<br>\nn. 民工	 The local lords often treated the peasants badly./r/n     当地地主常常虐待农民。/r/n\n The failure of their crops spelt disaster for the peasant farmers./r/n     作物歉收农民就要受灾./r/n
6705	peasantry	n. 农民(总称)	
6706	peat	n. 泥煤,泥煤块	 Root the cuttings in peat./r/n     把插枝扦插泥炭中./r/n\n A broad area of open land, often high but poorly drained, with patches of heath and peat bogs./r/n     沼泽一片大面积的开阔地，通常很高但排水不好，有成片的荒野和泥炭田/r/n
6707	peat bog	泥炭	 A broad area of open land, often high but poorly drained, with patches of heath and peat bogs./r/n     沼泽一片大面积的开阔地，通常很高但排水不好，有成片的荒野和泥炭田/r/n
6708	pebble	n. 鹅卵石<br>\nv. (用卵石)铺	 There are many pebbles on the riverbed./r/n     河床上有很多卵石。/r/n\n He dropped a pebble from the bridge and waited for the plop./r/n     他从桥上扔下一颗卵石, 然後等著听那扑通的一声./r/n
6709	pecan	n. 美洲山核桃树	 A confection made of nut kernels, especially almonds or pecans, stirred in boiling sugar syrup until crisp and brown./r/n     干果糖用干果仁，尤指杏仁或山核桃仁在沸腾的糖浆里搅拌直至发焦变脆而制成的蜜饯/r/n
6710	peccadillo	n. 轻罪,小过,小暇疵	
6711	peck	n. 啄痕,啄食<br>\nv. 以喙啄,啄食,吹毛求疵	 That bird tried to peck me./r/n     那只鸟想啄我。/r/n\n The boy started pecking at the keys of the piano./r/n     男孩开始在钢琴上乱弹一气。/r/n
6712	peckish	a. 饿的,急躁的	
6713	pectoral	a. 胸部的,胸的	
6714	peculate	v. 挪用,盗领	
6715	peculation	n. 挪用(侵吞公款)	 He became manager but was put down from the office fur peculation./r/n     他成了一位经理，但由于盗用公款而被降职了。/r/n
6716	peculiar	a. 奇怪的,古怪的,特殊的,独特的	 The food has a peculiar taste./r/n     这食物有种怪味道。/r/n\n This style of cooking is peculiar to the country./r/n     这种烹调方法是那个国家的特色。/r/n
6717	peculiarity	n. 特质,特性,怪癖	 These small spiced cakes are a peculiarity of the region./r/n     这些别有风味的小蛋糕是该地的特产。/r/n\n She has peculiarities on diet./r/n     她有饮食方面的怪癖。/r/n
6718	peculiarly	ad. 古怪地,特有地	 Hunting foxes is a peculiarly English sport./r/n     猎狐是英国特有的运动./r/n
6719	pedagogic	a. 教学法的	
6720	pedagogical	a. 教学(法)的	
6721	pedagogue	n. 教师,教育者,爱假装博学者	
6722	pedagogy	n. 教育学,教授法,教育	 Instruction; teaching; pedagogy./r/n     指导；教学；教学法/r/n
6723	pedal	n. 踏板<br>\na. 脚的,踏脚的<br>\nv. 用脚踏动,踩踏板	 The pedal of a cycle is attached to a crank./r/n     自行车的踏板与曲柄相连。/r/n\n He pushed hard on the brake pedal to avoid a collision./r/n     他使劲踩下煞车踏板以避免撞车。/r/n
6724	pedant	n. 炫学者,自夸学者的人,空谈家	
6725	pedantic	a. 卖弄学问的,假装学者的,吹毛求疵的,钻牛角尖的	 Pedantic attention to detail or rules./r/n     拘泥形式，墨守陈规过于拘泥于细节或规则/r/n\n A dull, pedantic speaker or writer./r/n     学究枯燥而迂腐的讲话人或作者/r/n
6726	pedantry	n. 假装学者,卖弄学问,炫学	
6727	peddle	v. 挑卖,沿街叫卖,散播	
6728	peddler	n. 小贩	 The peddler tried to sell me some small articles./r/n     那个小贩试图卖给我一些小东西。/r/n\n A peddler or dealer of cheap goods./r/n     小贩卖廉价货的小贩或商人/r/n
6729	pedestal	n. 基架,座,基础<br>\nv. 加座,搁在台上,支持	 The workers put the statue on its pedestal./r/n     工人们把雕像放到基座上。/r/n\n The statue reposes on a pedestal./r/n     塑像安放在台座上。/r/n
6730	pedestrian	a. 徒步的,缺乏想像的<br>\nn. 行人	 The driver was slanging a pedestrian who had got in his way./r/n     那司机破口大骂挡他的路的行人./r/n\n Being a good pedestrian is just as important as being a good driver./r/n     做一个好的行人就像做一个好的司机一样重要。/r/n
6731	pediatric	a. 儿科的	
6732	pediatrician	n. 儿科医师	
6733	pediatrics	n. 小儿科	 The branch of pediatrics that deals with the diseases and care of newborn infants./r/n     新生儿学儿科学的一个分支，研究新生儿疾病和护理/r/n
6734	pedicure	n. 修脚趾甲,足部治疗	
6735	pedigree	n. 家谱<br>\na. 纯种的	 He was proud of his impeccable pedigree./r/n     他为他出身于名门望族而骄傲。/r/n\n Direct descent from an ancestor; lineage or pedigree./r/n     家系从一个祖先传下来的直接世系；家系或家族/r/n
6736	pediment	n. 三角墙,山形墙	
6737	pedlar	n. 小贩	 The pedlar tried to sell me some small articles./r/n     那个小贩试图卖给我一些小东西。/r/n\n My grandmother dickered with the pedlar over the price of apples./r/n     我祖母为苹果的价格与小贩讨价还价。/r/n
6738	peel	n. 皮<br>\nv. 削...皮,剥落,脱皮	 Would you peel me an orange?/r/n     你给我剥一个橘子好吗？/r/n\n The paint was peeling./r/n     油漆正在剥落。/r/n
6739	peeler	n. 削皮器	
6740	peeling	n. 剥皮,剥下的皮	 Something, such as a skin or peel, that has been pared off./r/n     削皮，剥皮，削下物如皮肤或果皮等削下来的东西/r/n\n The paint was peeling./r/n     油漆正在剥落。/r/n
6741	peep	n. 瞥见,偷看,初现<br>\nv. 窥视,慢慢露出,吱吱叫	 The flowers are beginning to peep through the soil./r/n     花正开始破土而出。/r/n\n I caught him peeping at my paper./r/n     他偷看我的论文时，我当场抓住了他。/r/n
6742	peeper	n. 窥视者,嘀咕的人	 Acid rain is harmful to amphibians such as salamanders, spring peepers, and frogs./r/n     酸雨是有害于两栖的动物，例如鲵、春天里唧唧叫的小动物和青蛙。/r/n
6743	peephole	n. 窥孔,门镜	
6744	peerless	a. 无比的,出类的,无双的	 To be a peerless man is very difficult./r/n     做一个出类拔萃的人是很不容易的。/r/n\n His Chinese kung fu is peerless./r/n     他的中国功夫是无敌的。/r/n
6745	peeve	v. 气恼,怨恨	 It peeves me to be ordered out of my own house./r/n     命令我从自己的家中出去, 真太气人了./r/n
6746	peevish	a. 易怒的,暴躁的,撒娇的	 Inclined to be vexed or troubled; peevish./r/n     烦躁的易被激怒或困扰的；易怒的/r/n\n A peevish child is unhappy and makes others unhappy./r/n     一个脾气暴躁的孩子自己不高兴也使别人不高兴。/r/n
6747	peg	n. 钉,椿,藉口<br>\nv. 钉木椿,用椿	 First hammer the tent pegs into the ground, then tie the ropes onto them./r/n     先把系帐篷的桩子打进地里，再把绳子系在桩子上。/r/n\n Their pride in their achievements has come down a peg./r/n     他们对自己的成就不再觉得那么了不起了。/r/n
6748	pejorative	a. 退化的,轻蔑的<br>\nn. 轻蔑语	
6749	Pekin	n. 北京(市)	
6750	pelage	n. 皮毛,生皮	
6751	pelagic	a. 远洋的	 The ship is engaged in pelagic fishery./r/n     这艘船从事远洋渔业。/r/n
6752	pelf	n. 钱财	
6753	pelican	n. 鹈鹕	
6754	pellet	n. 小球,小子弹	 A hard pellet of snow and ice./r/n     雹块一种坚硬的冰雪团/r/n\n A small pill or pellet./r/n     小药丸，小糖丸/r/n
6755	pell-mell	ad. 乱七八糟地, 混乱地<br>\na. 杂乱的, 混乱的<br>\nn. 乱七八糟, 混乱, 杂乱	 The children rushed pell-mell down the stairs./r/n     孩子们乱哄哄地冲下楼去./r/n\n The books were scattered pell-mell over the floor./r/n     书本凌乱地散置在地上./r/n
6756	pellucid	a. 透明的,澄清的,明了的	
6757	pelt	n. 投掷,疾行,毛皮<br>\nv. 投掷,急降,攻击	 The rain was pelting down./r/n     大雨倾盆。/r/n\n The crowds pelted bad eggs at the speaker./r/n     群众纷纷向演讲人扔臭鸡蛋。/r/n
6758	Pembroke	彭布鲁克(英国城市)	
6759	pen	n. 钢笔<br>\nv. 圈进	 May I borrow your pen?/r/n     我可以借用你的钢笔吗？/r/n\n She fumbled about in her handbag for a pen./r/n     她在手提袋中搜寻钢笔。/r/n
6760	pen pal	n. 笔友	
6761	penal	a. 刑罚的	 Deportation to a penal colony./r/n     流放放逐到一个流刑地/r/n
6762	penalize	v. 处刑,宣告有罪,使不利	 The new law penalizes the poorest members of society./r/n     新法规对社会中最贫困者不 利./r/n\n People who drive when they are drunk should be heavily penalized./r/n     对酒醉开车者应予重罚./r/n
6763	penalty	n. 处罚,惩罚	 She has paid the penalty for her crimes with five years in prison./r/n     她因犯罪受到惩罚被判刑五年。/r/n\n One of the penalties of fame is that people point at you on the street./r/n     当了名人的麻烦之一是在街上被人指指点点。/r/n
6764	penance	n. 忏悔,悔过,赎罪	 He had done penance for his sins; we should forgive him./r/n     他已经为赎罪自我惩罚了，我们应该原谅他。/r/n
6765	pence	n. 便士	 Potatoes are 20 pence a pound./r/n     土豆每磅20便士./r/n\n The shares are currently being quoted at 54 pence a share./r/n     该股票现在的报价是每股54便士.*/r/n
6766	penchant	n. 喜好(倾向)	 She has a penchant for Indian food./r/n     她爱吃印度食物./r/n
6767	pencil	n. 铅笔<br>\nv. 用铅笔写	 I noted down his telephone number with a pencil near the telephone./r/n     我用电话旁的一根铅笔记下了他的电话号码。/r/n\n My pencil is blunt, could you lend me a knife to sharpen it?/r/n     我的铅笔钝了，你能借我把刀子削一削吗？/r/n
6768	pendent	a. 下垂的,悬而未决的,即将来临的	 When will the pendent problem be solved?/r/n     这个悬而未决的问题什么时候能解决呢？/r/n
6769	pending	a. 未决定的,待决的<br>\nprep. 直到,当...的时候,在...期间	 The lawsuit was then pending./r/n     那件讼案因而尚未解决./r/n\n A decision on this matter is pending./r/n     此事即将作出决定./r/n
6770	pendulous	a. 下垂的,摇摆的,摇摆不定的	
6771	pendulum	n. 摆,钟摆	 The pendulum of the clock in my room is a bear./r/n     我房间的钟摆是小熊形状的。/r/n\n A pendulum oscillates./r/n     摆锤能摆动./r/n
6772	penetrate	v. 穿透,渗透,看穿	 The headlamps penetrated the fog./r/n     车的前灯的光射进雾中。/r/n\n Nothing we say penetrates his thick skull!/r/n     无论我们说什麽他都不懂。/r/n
6773	penetrating	a. 敏锐的,尖锐的	 The penetrating odor of garlic soon filled the entire apartment./r/n     大蒜刺鼻的气味很快就弥散了整个屋子/r/n
6774	penetration	n. 渗透,侵透,侵入	 Resistant to penetration by water but not entirely waterproof./r/n     抗水的能抵抗水的渗透但不完全防水的/r/n\n He writes with penetration./r/n     他写的文章尖锐深刻。/r/n
6775	penguin	n. 企鹅	 The birth of a baby penguin in the zoo was widely reported./r/n     动物园里小企鹅的出生受到了广泛的报道。/r/n\n The penguin is a flightless bird./r/n     企鹅是一种不会飞的鸟。/r/n
6776	penholder	n. 笔杆	
6777	penicillin	n. 青霉素	 The nurse injected penicillin into her arm./r/n     护士给她的胳膊注射了青霉素。/r/n\n Allergic children; highly allergic to penicillin./r/n     过敏的儿童；对青霉素高度过敏/r/n
6778	Penicillium	n. 青霉菌	
6779	peninsula	n. 半岛	
6780	peninsular	n. 半岛	
6781	penis	n. 阳物,阴茎	
6782	penitence	n. 后悔	
6783	penitentiary	n. 听悔僧,教诲师,赎免局<br>\na. 改过的,感化的,惩罚的	 A place where persons convicted or accused of crimes are confined; a penitentiary or a jail./r/n     监狱，拘留所监禁被指控或认定有罪的人的地方；拘留所或监狱/r/n
6784	penknife	n. 袖珍折刀	
6785	penmanship	n. 书法,笔法,笔迹	
6786	pennant	n. 三角小旗(信号旗,奖旗)	 A pennant lolling from the mast./r/n     信号旗松散地从桅杆上垂下来/r/n
6787	pennate	a. 有翼(羽毛)的	
6788	penniless	a. 身无分文的	
6789	Pennsylvania	n. 宾夕凡尼亚州	
6790	penny	n. 便士	 I only have a few pennies with me./r/n     我身上只有几个便士。/r/n\n Penny wise, pound foolish./r/n     【谚】小事聪明，大事糊涂；抓了芝麻，丢了西瓜。/r/n
